timestamp_ms,id,x1,y1,x2,y2
13880.0,98,854,280,967,470
13880.0,99,358,579,532,849
13880.0,100,849,846,995,1078
13880.0,101,30,733,281,1053
13880.0,102,1667,312,1788,514
13880.0,103,975,357,1068,557
13880.0,104,178,584,377,859
13880.0,105,625,772,779,1080
13880.0,106,501,372,637,560
13880.0,107,1215,409,1433,836
13880.0,108,1634,210,1734,383
13880.0,109,308,486,483,735
13880.0,110,560,302,683,487
13880.0,111,1733,665,1906,948
13880.0,112,988,544,1107,791
13880.0,113,1334,236,1421,428
13880.0,114,1590,108,1683,274
13880.0,115,417,404,569,630
13880.0,116,1566,28,1636,176
13880.0,117,933,658,1061,974
13880.0,118,1431,380,1529,563
13880.0,119,604,275,715,447
13880.0,120,896,248,1012,470
13880.0,121,1046,395,1149,610
13880.0,122,660,347,762,522
13880.0,123,1418,237,1504,360
13880.0,124,1174,245,1263,456
13880.0,125,721,274,827,467
13880.0,126,1090,279,1169,484
13880.0,127,357,340,496,542
13880.0,128,538,476,668,693
13880.0,129,1376,199,1487,304
13880.0,130,969,171,1062,362
13880.0,131,598,439,713,609
13880.0,132,412,203,527,380
13880.0,133,1409,71,1494,219
13880.0,134,1354,5,1459,108
13880.0,135,792,228,875,410
13880.0,136,1139,28,1225,191
13880.0,137,1378,3,1469,99
13880.0,138,1430,7,1511,63
13880.0,139,842,160,918,341
13880.0,140,887,28,965,211
13880.0,141,1362,1,1452,74
13880.0,142,955,19,1017,194
13880.0,143,1180,0,1275,99
13880.0,144,74,388,239,600
13880.0,145,197,282,326,474
13880.0,146,1111,362,1679,1062
13880.0,147,228,434,391,676
13880.0,148,457,256,578,453
13880.0,149,108,0,255,91
13880.0,150,542,196,654,359
13880.0,151,592,163,696,323
13880.0,152,740,53,825,205
13880.0,153,801,19,873,152
13880.0,154,911,6,981,126
13880.0,155,171,1,363,97
13880.0,156,753,635,898,883
13880.0,157,859,2,921,96
13880.0,158,0,916,167,1080
13880.0,159,857,512,979,732
13880.0,160,293,0,437,105
13880.0,161,915,434,1023,640
13880.0,162,1012,297,1102,480
13880.0,163,1087,155,1156,349
13880.0,164,721,188,815,340
13880.0,165,817,81,906,251
13880.0,166,1056,119,1131,280
13880.0,167,1097,65,1176,233
13880.0,168,982,0,1100,100
13920.0,82,1778,159,1906,346
13920.0,83,1418,960,1667,1080
13920.0,84,461,596,626,850
13920.0,85,579,532,728,759
13920.0,86,1321,727,1856,1077
13920.0,87,662,455,803,664
13920.0,88,747,359,877,561
13920.0,89,1540,590,1661,782
13920.0,90,734,403,866,612
13920.0,91,1822,636,1920,902
13920.0,92,542,685,702,935
13920.0,93,798,327,919,517
13920.0,94,1517,487,1620,629
13920.0,95,245,776,470,1043
13920.0,96,941,527,1054,713
13920.0,97,1716,448,1865,685
13920.0,98,854,280,967,470
13920.0,99,358,579,532,849
13920.0,100,849,846,995,1078
13920.0,101,30,733,281,1053
13920.0,102,1667,312,1788,514
13920.0,103,975,357,1068,557
13920.0,104,178,584,377,859
13920.0,105,625,772,779,1080
13920.0,106,501,372,637,560
13920.0,107,1215,409,1433,836
13920.0,108,1634,210,1734,383
13920.0,109,308,486,483,735
13920.0,110,560,302,683,487
13920.0,111,1733,665,1906,948
13920.0,112,988,544,1107,791
13920.0,113,1334,236,1421,428
13920.0,114,1590,108,1683,274
13920.0,115,417,404,569,630
13920.0,116,1566,28,1636,176
13920.0,117,933,658,1061,974
13920.0,118,1431,380,1529,563
13920.0,119,604,275,715,447
13920.0,120,896,248,1012,470
13920.0,121,1046,395,1149,610
13920.0,122,660,347,762,522
13920.0,123,1418,237,1504,360
13920.0,124,1174,245,1263,456
13920.0,125,721,274,827,467
13920.0,126,1090,279,1169,484
13920.0,127,357,340,496,542
13920.0,128,538,476,668,693
13920.0,129,1376,199,1487,304
13920.0,130,969,171,1062,362
13920.0,131,598,439,713,609
13920.0,132,412,203,527,380
13920.0,133,1409,71,1494,219
13920.0,134,1354,5,1459,108
13920.0,135,792,228,875,410
13920.0,136,1139,28,1225,191
13920.0,137,1378,3,1469,99
13920.0,138,1430,7,1511,63
13920.0,139,842,160,918,341
13920.0,140,887,28,965,211
13920.0,141,1362,1,1452,74
13920.0,142,955,19,1017,194
13920.0,143,1180,0,1275,99
13920.0,144,74,388,239,600
13920.0,145,197,282,326,474
13920.0,146,1111,362,1679,1062
13920.0,147,228,434,391,676
13920.0,148,457,256,578,453
13920.0,149,108,0,255,91
13920.0,150,542,196,654,359
13920.0,151,592,163,696,323
13920.0,152,740,53,825,205
13920.0,153,801,19,873,152
13920.0,154,911,6,979,134
13920.0,155,171,1,363,97
13920.0,156,753,635,898,883
13920.0,157,859,2,921,96
13920.0,158,0,916,167,1080
13920.0,159,857,512,979,732
13920.0,160,293,0,437,105
13920.0,161,915,434,1023,640
13920.0,162,1012,297,1102,480
13920.0,163,1087,155,1156,349
13920.0,164,721,188,815,340
13920.0,165,817,81,906,251
13920.0,166,1056,119,1131,280
13920.0,167,1097,65,1176,233
13920.0,168,982,0,1100,100
13960.0,82,1778,159,1906,346
13960.0,83,1418,960,1667,1080
13960.0,84,461,596,626,850
13960.0,85,579,532,728,759
13960.0,86,1321,727,1856,1077
13960.0,87,662,455,803,664
13960.0,88,747,359,877,561
13960.0,89,1540,590,1661,782
13960.0,90,734,403,866,612
13960.0,91,1822,636,1920,902
13960.0,92,542,685,702,935
13960.0,93,798,327,919,517
13960.0,94,1517,487,1620,629
13960.0,95,245,776,470,1043
13960.0,96,941,527,1054,713
13960.0,97,1716,448,1865,685
13960.0,98,854,280,967,470
13960.0,99,358,579,532,849
13960.0,100,849,846,995,1078
13960.0,101,30,733,281,1053
13960.0,102,1667,312,1788,514
13960.0,103,975,357,1068,557
13960.0,104,178,584,377,859
13960.0,105,625,772,779,1080
13960.0,106,501,372,637,560
13960.0,107,1215,409,1433,836
13960.0,108,1634,210,1734,383
13960.0,109,308,486,483,735
13960.0,110,560,302,683,487
13960.0,111,1733,665,1906,948
13960.0,112,988,544,1107,791
13960.0,113,1334,236,1421,428
13960.0,114,1590,108,1683,274
13960.0,115,417,404,569,630
13960.0,116,1566,28,1636,176
13960.0,117,933,658,1061,974
13960.0,118,1431,380,1529,563
13960.0,119,604,275,715,447
13960.0,120,896,248,1012,470
13960.0,121,1046,395,1149,610
13960.0,122,660,347,762,522
13960.0,123,1418,237,1504,360
13960.0,124,1174,245,1263,456
13960.0,125,721,274,827,467
13960.0,126,1090,279,1169,484
13960.0,127,357,340,496,542
13960.0,128,538,476,668,693
13960.0,129,1376,199,1487,304
13960.0,130,969,171,1062,362
13960.0,131,598,439,713,609
13960.0,132,412,203,527,380
13960.0,133,1409,71,1494,219
13960.0,134,1354,5,1459,108
13960.0,135,792,228,875,410
13960.0,136,1137,26,1223,191
13960.0,137,1378,3,1469,99
13960.0,138,1430,7,1511,63
13960.0,139,842,160,918,341
13960.0,140,887,28,965,211
13960.0,141,1362,1,1452,74
13960.0,142,955,19,1017,194
13960.0,143,1180,0,1275,99
13960.0,144,74,388,239,600
13960.0,145,197,282,326,474
13960.0,146,1111,362,1679,1062
13960.0,147,228,434,391,676
13960.0,148,457,256,578,453
13960.0,149,108,0,255,91
13960.0,150,542,196,654,359
13960.0,151,592,163,696,323
13960.0,152,740,53,825,205
13960.0,153,801,19,873,152
13960.0,154,912,7,978,140
13960.0,155,171,1,363,97
13960.0,156,753,635,898,883
13960.0,157,859,2,921,96
13960.0,158,0,916,167,1080
13960.0,159,857,512,979,732
13960.0,160,293,0,437,105
13960.0,161,915,434,1023,640
13960.0,162,1012,297,1102,480
13960.0,163,1087,155,1156,349
13960.0,164,721,188,815,340
13960.0,165,817,81,906,251
13960.0,166,1056,119,1131,280
13960.0,167,1097,65,1176,233
13960.0,168,982,0,1100,100
14000.0,82,1778,159,1906,346
14000.0,83,1418,960,1667,1080
14000.0,84,461,596,626,850
14000.0,85,579,532,728,759
14000.0,86,1321,727,1856,1077
14000.0,87,662,455,803,664
14000.0,88,747,359,877,561
14000.0,89,1540,590,1661,782
14000.0,90,734,403,866,612
14000.0,91,1822,636,1920,902
14000.0,92,542,685,702,935
14000.0,93,798,327,919,517
14000.0,94,1517,487,1620,629
14000.0,95,245,776,470,1043
14000.0,96,941,527,1054,713
14000.0,97,1716,448,1865,685
14000.0,98,854,280,967,470
14000.0,99,358,579,532,849
14000.0,100,849,846,995,1078
14000.0,101,30,733,281,1053
14000.0,102,1667,312,1788,514
14000.0,103,975,357,1068,557
14000.0,104,178,584,377,859
14000.0,105,625,772,779,1080
14000.0,106,501,372,637,560
14000.0,107,1215,409,1433,836
14000.0,108,1634,210,1734,383
14000.0,109,308,486,483,735
14000.0,110,560,302,683,487
14000.0,111,1733,665,1906,948
14000.0,112,988,544,1107,791
14000.0,113,1334,236,1421,428
14000.0,114,1590,108,1683,274
14000.0,115,417,404,569,630
14000.0,116,1566,28,1636,176
14000.0,117,933,658,1061,974
14000.0,118,1431,380,1529,563
14000.0,119,604,275,715,447
14000.0,120,896,248,1012,470
14000.0,121,1046,395,1149,610
14000.0,122,660,347,762,522
14000.0,123,1418,237,1504,360
14000.0,124,1174,245,1263,456
14000.0,125,721,274,827,467
14000.0,126,1090,279,1169,484
14000.0,127,357,340,496,542
14000.0,128,538,476,668,693
14000.0,129,1376,199,1487,304
14000.0,130,969,171,1062,362
14000.0,131,598,439,713,609
14000.0,132,412,203,527,380
14000.0,133,1409,71,1494,219
14000.0,134,1354,5,1459,108
14000.0,135,792,228,875,410
14000.0,136,1136,23,1221,190
14000.0,137,1378,3,1469,99
14000.0,138,1430,7,1511,63
14000.0,139,842,160,918,341
14000.0,140,887,28,965,211
14000.0,141,1362,1,1452,74
14000.0,142,955,19,1017,194
14000.0,143,1180,0,1275,99
14000.0,144,74,388,239,600
14000.0,145,197,282,326,474
14000.0,146,1111,362,1679,1062
14000.0,147,228,434,391,676
14000.0,148,457,256,578,453
14000.0,149,108,0,255,91
14000.0,150,542,196,654,359
14000.0,151,592,163,696,323
14000.0,152,740,53,825,205
14000.0,153,801,19,873,152
14000.0,154,912,7,982,142
14000.0,155,171,1,363,97
14000.0,156,753,635,898,883
14000.0,157,859,2,921,96
14000.0,158,0,916,167,1080
14000.0,159,857,512,979,732
14000.0,160,293,0,437,105
14000.0,161,915,434,1023,640
14000.0,162,1012,297,1102,480
14000.0,163,1087,155,1156,349
14000.0,164,721,188,815,340
14000.0,165,817,81,906,251
14000.0,166,1056,119,1131,280
14000.0,167,1097,65,1176,233
14000.0,168,982,0,1100,100
14040.000000000002,82,1778,159,1906,346
14040.000000000002,83,1418,960,1667,1080
14040.000000000002,84,461,596,626,850
14040.000000000002,85,579,532,728,759
14040.000000000002,86,1321,727,1856,1077
14040.000000000002,87,662,455,803,664
14040.000000000002,88,747,359,877,561
14040.000000000002,89,1540,590,1661,782
14040.000000000002,90,734,403,866,612
14040.000000000002,91,1822,636,1920,902
14040.000000000002,92,542,685,702,935
14040.000000000002,93,798,327,919,517
14040.000000000002,94,1517,487,1620,629
14040.000000000002,95,245,776,470,1043
14040.000000000002,96,941,527,1054,713
14040.000000000002,97,1716,448,1865,685
14040.000000000002,98,854,280,967,470
14040.000000000002,99,358,579,532,849
14040.000000000002,100,849,846,995,1078
14040.000000000002,101,30,733,281,1053
14040.000000000002,102,1667,312,1788,514
14040.000000000002,103,975,357,1068,557
14040.000000000002,104,178,584,377,859
14040.000000000002,105,625,772,779,1080
14040.000000000002,106,501,372,637,560
14040.000000000002,107,1215,409,1433,836
14040.000000000002,108,1634,210,1734,383
14040.000000000002,109,308,486,483,735
14040.000000000002,110,560,302,683,487
14040.000000000002,111,1733,665,1906,948
14040.000000000002,112,988,544,1107,791
14040.000000000002,113,1334,236,1421,428
14040.000000000002,114,1590,108,1683,274
14040.000000000002,115,417,404,569,630
14040.000000000002,116,1566,28,1636,176
